"openid","roleid","nickname","cumulative_topup_thousand_vnd","tier_history","matches"
"101574590","1204918960","』Nện『』』『",11929,"",3746
"248448234","1266043146","Nana寶貝",11926,"",678
"272672204","1852931487","『TQ』LinZhun",11925,"",2029
"950369722","1141711587","MƬƓ_Huynek",11924,"",704
"912186863","1515805088","【TC】、ThiênHưng",11924,"",4871
"425553866","1819477040","1st-Sniper____",11915,"",1378
"782847777","1323502859","Nost",11915,"",520
"202472996","1474915484","HoangViet5566",11913,"",1645
"983424324","1290244059","WSB丶LọĐạiThánh",11913,"",1589
"620109054","1727313164","３５７",11910,"",2619
"192020987","1129866058","『AE』ĐứcPT",11903,"",926
"83998882","1877037515","INV丶ʀᴀмʙo",11903,"",1131
"336821117","1660521402","『WD』Tofu420",11903,"",788
"868810526","1345305237","Louis_khánh",11902,"",4905
"808341330","1344099102","1st-Darkshell",11900,"",1642
"142678279","1904959260","Trạm_Thu_Phí",11899,"",3053
"441791861","1138374420","zeroo",11892,"",1848
"820259257","1359281831","RD丶Gấu,baby^^",11892,"",2568
"599706238","1358964423","VYGxKhóChoYuno",11890,"",2887
"276862935","1936708385","SangAkm",11889,"",181
"143158317","1724347574","AS.JT",11888,"",1768
"634996020","1301327003","GiveMe_M4",11885,"",442
"793571656","1069768191","NinhCp",11885,"",2407
"76149346","1352338693","TôiKhiêmTốn23",11882,"",1311
"370721798","1591704101","*Gia_Hoàng*",11879,"",766
"355207863","1583197357","1St-TUYEN",11878,"",2000
"255569809","1592507202","睿雯",11878,"",1494
"263164303","1239861989","જʙìɴʜ_Goldᵛᶰシ",11878,"",302
"280481989","1552982833","63T丶HeyLeeッ",11867,"",890
"97120000","1582141593","BonBonSuSu",11867,"",697
"568015835","1772452202","Lọ_Vươngz",11866,"",1655
"212857871","1155436435","NF丶HyPer^^",11866,"",2791
"592498967","1399697481","Anh long",11865,"",2473
"57857987","1646185680","『DN』Tuấn-Khanh",11862,"",601
"142365008","1695452326","꧁༒•²ᵏ•༒꧂",11862,"",1094
"589668537","1582232686","WLs丶AThw౨ৎ",11862,"",2004
"193475317","1205156167","Khoa23",11861,"",872
"487773972","1788894478","Mr_pạc.Xịt",11861,"",1882
"589586579","1819523675","βʊლ3rănɕ",11858,"",1134
"44483589","1388557906","MDukk",11856,"",445
"793052424","1745149072","5G·BoIuAnh౨ৎ",11856,"",1221
"811827577","1639473724","jgen",11856,"",377
"15539285","1788996772","Manhvoi90",11855,"",730
"102910947","1026053999","JP丶ヒエップ",11854,"",1268
"849740451","1548429512","LR丶Dũng!",11854,"",1672
"8195366","1470426979","AG.LửngMật",11854,"",5582
"941187463","1174804583","HuangJiyng",11853,"",1279
"269997829","1026876216","Nín..!",11853,"",3602
"535796191","1505523920","Hiepmiller",11852,"",1127
"474368199","1632788937","Alevqndanne",11851,"",52
"173178166","1579315175","Guybuihair",11849,"",804
"185097927","1914590448","ＹＵＵgod",11847,"",1200
"323709062","1322745547","BL丶Tun¹°",11844,"",2076
"934842747","1226201961","ĐL.Shin",11843,"",1568
"62200712","1845097506","『MS』ConCáMập!!",11842,"",3994
"212600996","1523927284","AG。春ᵛᶰ",11840,"",1970
"702465949","1710252886","NQkhanh97",11838,"",1841
"734391421","1718897511","106.FL.Cá.Tra",11837,"",1247
"780086487","1112695588","Tôn_Ngộ_Không",11834,"",1443
"159828686","1140724350","Zeztz'",11832,"",823
"548358262","1024824747","AF丶Thua",11832,"",1250
"671278724","1361284516","Bbq丶AnhPhan",11830,"",991
"364378186","1337211167","Hung445566",11827,"",1545
"734166059","1632316161","ng.kogzih",11818,"",1327
"928653814","1349881104","Jindo..",11816,"",2539
"199505267","1020479722","BuiTruongGiang",11816,"",344
"521675411","1146927503","「WangRambo」",11816,"",2556
"399792596","1016540564","BN_Piuzz",11815,"",3367
"59229044","1106152704","BG、MặtThẹo",11814,"",1130
"594736200","1435223040","HaikaKa",11814,"",1239
"808418123","1870143328","49ɕỏđεռnᵛᶰシ",11813,"",2783
"369151864","1410972345","CôngChúaLọLem",11811,"",3814
"598329831","1508348873","Thanchettv",11807,"",121
"22344628","1210521917","khiemtapsu_WS",11807,"",2485
"303125258","1501031352","Mr.kellro",11806,"",1530
"340710372","1816580387","W1°ɾɑßßɨʈ²°",11806,"",1516
"201060144","1779390150","KIZ丶GOBI",11805,"",2636
"820036990","1456482991","Bw丶ＢＲＥＡＫ",11801,"",1305
"615661410","1455857813","HTONY",11798,"",462
"489040001","1231199727","Hanvip/maxpro",11796,"",4336
"658110379","1441998232","NamNonNớt.",11792,"",607
"672987467","1889133008","NMing19.",11791,"",2204
"217352294","1611326120","Dương24",11785,"",1187
"546684375","1830222521","K+NhịpSống",11784,"",294
"948149843","1001323268","BL、ू⳻᷼⳺｡",11783,"",1202
"233647611","1673465959","DF_Bo.60c1",11782,"",2304
"144640107","1292469169","AozoraNon",11780,"",918
"980734529","1081020019","Feed-Hộ-Team",11778,"",1331
"419151115","1649585277","MFr_MeoMeo()",11777,"",3252
"769482996","1709437508","MaoKaii",11769,"",1522
"761835640","1741870798","tt_khanh@7787",11769,"",2739
"151713733","1059279730","Na.Nopro",11769,"",513
"79187269","1804251501","pa1nn",11768,"",1458
"733272543","1488433812","Trungngcfsay",11766,"",3826
"308624590","1863860575","K.Da_Kai",11764,"",5211
"617507286","1030892148","WS.0%",11763,"",4570
"408769943","1173030257","1340ツVajLoz",11763,"",1467
"503115323","1513053191","꧁Gió꧂",11762,"",1105
"269020513","1405769183","『$』MoẹMài",11756,"",2020
"497193336","1464819284","C4²_VũTuấn",11755,"",2209
"275241213","1838587407","ĐáVỡMõmChó",11755,"",2202
"235578832","1262797126","》MFA《_Trắng",11754,"",4265
"17190843","1316319646","ⓚⓔⓓⓐⓝⓗⓛⓔⓝ",11752,"",1357
"144797400","1818751655","CôngChúaLàmĐỹ",11748,"",3637
"962260389","1156360422","NashXGem",11747,"",30
"347156782","1096185615","Theanhpro",11746,"",2562
"251270652","1717219820","NF_Binn",11743,"",243
"771552467","1018243073","ηɡọϲҽɱ",11741,"",3504
"997044331","1389040189","ッʍєʀﻨภ๑>.<",11737,"",3020
"348100432","1657155130","DN.Audi",11737,"",2185
"369549269","1981134305","เข้ามานี่สิ",11735,"",7314
"384158976","1353250377","『MT』Your.Name",11734,"",2759
"977519066","1006306094","°°Thầy.Pháp°°",11734,"",2156
"481672612","1976958291","*«63*NicôBúCu*",11733,"",1358
"819044030","1164429937","《36》CẬU-ÚT",11733,"",1144
"265579812","1175188862","°BD°_dung93",11732,"",716
"700386764","1006736967","ᵛᶰシмʏʏɴᴀᴀ",11726,"",789
"92836841","1803249268","¹0²丶sᴛᴇᴠᴇɴʟᴇᴇ",11719,"",1870
"923579376","1415343681","Bèo.chôi",11718,"",1420
"794349001","1552154504","Gánh4thằngngu:",11718,"",712
"715245483","1965137619","DatMeochuteee",11717,"",2420
"378032964","1370452048","SNIP=CảTínhMạg",11717,"",3254
"853470631","1919038093","Mr.Lậu",11715,"",3564
"308863902","1183172215","JP丶Hậu.Tokyo",11714,"",1872
"277270264","1302627010","OT丶Rin",11713,"",3296
"171657600","1708459037","EVOS_Messi",11711,"",725
"743895239","1530898862","Bắnvàotrongnha",11709,"",2391
"415521297","1270267428","QTD_Himass!!!",11707,"",2525
"234663230","1392951144","63.Tỏi!!!",11707,"",3454
"267836485","1806467923","YanziMing",11707,"",3438
"304422602","1134178703","***Bất.Hối***",11705,"",491
"976509860","1693486405","Aᴷ47-Hào~k6",11704,"",507
"805245153","1686338050","『RY』HS",11703,"",2827
"872617583","1984771358","Huyền-Anh.",11702,"",1575
"15374236","1228488764","☞lã๏tค๓✿",11699,"",2038
"828354973","1089557693","Mrbiimrbii199",11699,"",1349
"34875912","1202255678","WSB丶BúWin",11695,"",1919
"261230529","1257741639","ｎｌｑｔ",11693,"",1473
"106030492","1071187627","NF丶ATHENA",11689,"",994
"906710737","1456336172","Lão_Đại_Cf",11688,"",1216
"652644829","1012924870","HúpSòVợBạn",11688,"",1449
"80274382","1914539267","vanniem99",11683,"",700
"730654032","1604647039","᠎᠎᠎᠎",11682,"",1429
"656384651","1828679398","JessePinkmaN",11682,"",2048
"68863555","1438900919","Missubbi…",11681,"",318
"387486812","1407478212","Wiloiam",11680,"",1818
"480394481","1032841824","Lιɢнт",11680,"",1902
"85094793","1823636225","Tɦái",11679,"",498
"410878878","1250263568",".Sniper.94.",11677,"",3649
"248747609","1406506359","TN丶Dєαтнᴳᵒᵈ",11675,"",2241
"207811381","1744777319","Mr.Hụt",11675,"",1378
"885171371","1608983787","thiênbảo",11675,"",2006
"200583913","1823609316","OT丶TeaYoung",11673,"",2169
"817696062","1477508903","JamesTran",11671,"",2927
"220679523","1729547465","BeTin",11668,"",1563
"658491072","1660312702","No.1☠",11668,"",967
"199641704","1726245260","BossLong",11667,"",1394
"191562442","1057370432","-HR-VữngSiro",11666,"",1212
"681791142","1173000651","MamaChítChít",11665,"",1012
"338043524","1761816990","Ss丶　ÔɴgGiáo",11664,"",2072
"27965417","1101255825","yennhi1905@",11661,"",453
"580180585","1143025972","Kush's",11659,"",1580
"342048565","1575711180","c4_thái",11655,"",1957
"581070400","1156509570","Ѵ丶TRONGHA",11653,"",2639
"469777842","1010510972","TLMH_2mp",11648,"",324
"628840256","1976322812","JP丶Vi_Cá",11646,"",1639
"813193303","1321280187","IDOL丶QuangMinh",11646,"",2310
"17715720","1896084871","CR®ÂyTiiiii??",11644,"",2778
"445439928","1133567299","Quỷ¥Vuong$City",11644,"",2855
"447703790","1586785247","Thor^^",11642,"",3184
"407387767","1556855413","Lạiphảicân1+4",11642,"",1105
"600162677","1913548143","AK_ShiYue",11640,"",2286
"809414546","1818701241","CaoVănHội",11639,"",2319
"220164144","1250488801","CRD_Thỏ",11637,"",1844
"669647535","1448294476","๖HN¹︵¹⁴¹Dương•",11636,"",2667
"996203286","1054077525","ẨnDanhhh",11636,"",326
"105378911","1855899305","89丶TùngAnh",11634,"",3900
"536008410","1423315898","GiáoÁnVềBờ",11631,"",2786
"183839080","1774876014","70_kg",11630,"",1469
"588655705","1914247056","DON.Mikat",11630,"",1726
"373893400","1656201441","King_Fap",11628,"",645
"937322065","1658983095","79K丶SenKo",11628,"",2092
"942888491","1382612141","15.Giang-NS",11628,"",4724
"398997071","1367085825","Rose_Faker",11627,"",959
"849295755","1937351760","『VIP』Xichum",11627,"",3496
"6842533","1592255740","SN_ThuỷPô",11626,"",1798
"908386069","1128992668","BẮN-NỔ-DÁI",11624,"",2299
"84942198","1960601940","TLaamDT",11624,"",1265
"936835843","1254462677","DưVàHâm",11623,"",1017
"119985085","1458564928","911¬ᴢɪɢᴀ",11619,"",921
"879878446","1656045270","Z丶Mason",11619,"",1395
"931220938","1801438369","ChủLòRèn",11619,"",1334
"770085221","1560979380","Helmer.",11617,"",1088
"109711054","1820661443","LínhĐặcCông17",11615,"",1674
"45382139","1828189286","Mihtrys^_^",11615,"",2135
"982009617","1264404747","ｅｓｃａｎｏｒ",11615,"",3085
"919017796","1313847339","VươngAK",11609,"",875
"763668766","1796470396","Dior-HoangPhuc",11607,"",602
"583739040","1198941007","Bn︵tiêu.thiên",11606,"",1950
"829003619","1489350310","GFzFays",11604,"",879
"771521975","1876059514","LêHuỳnhNhư",11604,"",1553
"331340724","1744757008","「BG」Ong_Mật",11603,"",2482
"350602739","1184984435","Dola2ka4",11603,"",307
"714614221","1227665309","ใจต์กไrดีiCล้y",11603,"",2264
"664165246","1465150109","Mởbátđi",11599,"",811
"352290526","1707111044","『T』チャンピオン",11597,"",2489
"612391879","1920300201","BI-ĐANG-SỤC",11596,"",5166
"400770215","1122014077","N.N.M.T",11593,"",1776
"652386842","1135771711","TomPeace",11590,"",796
"490617969","1565436592","》MFA《.CấmBắnT",11589,"",1709
"520713129","1249726362","Mobile_Tân",11588,"",4104
"335653610","1948885876","HolyP",11582,"",1437
"840841322","1245404062","MVP丶One-Over",11581,"",2629
"149014198","1581336945","ACE.NQT97",11580,"",614
"827781917","1903471240","QĐVN-hunka",11580,"",2315
"589689570","1320799760","CogaiHaLan",11578,"",1528
"934963104","1654623950","NT-Tris",11578,"",508
"130477328","1357612463","-02th07.!!",11577,"",2467
"309458789","1838318542","Malak@",11575,"",1442
"287476494","1210442702","NewGamee",11574,"",1116
"134830213","1784224918","ÔgNộiMàyNèCon",11572,"",920
"87800959","1074745023","FC4丶Báoiuems",11569,"",3457
"496773704","1517809816","GOF.EmTậpBắn3Z",11568,"",2852
"279659107","1903315045","chaobanhbong",11565,"",268
"294851926","1991973818","4ғʙ丶нuʟκ",11564,"",1160
"314057495","1474479679","Tony.ne",11564,"",1371
"619404009","1805884146","Zeeri",11564,"",989
"602571852","1234568108","TíTEM",11563,"",2606
"402110797","1455163245","hoanghieu1234",11560,"",604
"513946094","1505112980","RD〆ÔngBaBị",11558,"",609
"26839235","1297051150","BốMàyLàVịt",11558,"",169
"589587094","1651500358","『ʙᴠɢ』Howl_202",11556,"",1884
"206289169","1915518818","FDxJustMèo",11555,"",1444
"499232851","1119253554","Geun",11552,"",974
"546997641","1818089964","Bapdeptrai",11552,"",1052
"411902913","1224503641","TrungVipProNo1",11550,"",807
"840533481","1879849882","꧁༺ლưɑ︵²ᵏ⁸",11549,"",1090
"842044649","1909387702","Mèn.mén",11548,"",755
"727476880","1877555037","PK丶JET丶JET",11546,"",1130
"614194686","1132705460","SPA_VuongPo",11546,"",1207
"798612168","1907301388","BéỐcGàLắm",11543,"",2020
"306537099","1868581307","BT_HànDuy",11538,"",773
"412518042","1642903996","Myloveem",11534,"",427
"223765537","1948105622","Trường丶1Viên",11533,"",1977
"42209883","1867877603","VIE_1gucci",11530,"",992
"715928000","1446195046","MeLoBaByDepTry",11530,"",1344
"629284490","1916591829","HD-Bùm1phát",11528,"",3373
"893167031","1424870625","Bạc..Xỉuu",11525,"",904
"866103946","1729698523","DSZ.Alpha",11524,"",1740
"54216997","1413366193","M-Zeus*",11524,"",3515
"866124887","1099553166","ynny",11521,"",987
"786178619","1551572897","GàCaoSu99",11521,"",2424
"19254859","1723703790","Đ!tMẹBọnMTây",11520,"",1571
"211682871","1862700531","ChồnLùiiiiii",11520,"",6845
"430340434","1318748670","Polarbears",11519,"",1683
"767586050","1599878491","Zic",11517,"",413
"955785069","1058071033","Tim_%",11515,"",3268
"271985024","1653667769","WG_Waiter",11513,"",1395
"256595377","1429549896","Bw丶ComeMyWay",11512,"",3856
"733994193","1812386443","Edith_Best049",11511,"",12
"514128293","1391344076","Lucky___Boy",11509,"",3424
"109620341","1950793584","︵ĐừngNhìnAnh︵",11506,"",4076
"103102682","1271029794","RK.BinMa",11506,"",2431
"748232077","1122625939","KO丶Landon",11506,"",632
"764911046","1633915853","NCCCN",11506,"",235
"470368814","1498923025","17〆Tiến",11503,"",2707
"62878585","1844821725","BTN丶Minh.idol",11502,"",3114
"584788297","1879397178","Tèo°•°",11502,"",227
"460871881","1534078536","BiBiQi",11501,"",1480
"930843308","1368039323","LuongTom",11501,"",652
"333189316","1558846270","BéBiaa",11493,"",242
"377847694","1889875108","『ᴛᴆ』CFL过气的神",11492,"",4501
"657767833","1608558994","AG.Mer hiss´꒳`",11491,"",5237
"471791105","1693716408","Tuấnmáymóc",11491,"",2618
"251114935","1227092079","GấuGâuGâu",11491,"",830
"485448322","1571817626","VIE-ToM",11488,"",917
"235485033","1239932612","ᴋʜôɴɢsợɢì",11487,"",2881
"17390764","1705336708","丶Harley",11487,"",1801
"594911302","1664143035","Vuilàchính@@",11484,"",5971
"251070118","1637026628","『NA』",11483,"",474
"45556161","1628777591","Special_Ops",11483,"",225
"894863066","1579984726","AnhDaĐen-1",11482,"",1256
"203032271","1370976308","PL丶TigerCKB",11482,"",110
"365166686","1522216216","〘ᵀᴹᴳ〙DarkNess",11480,"",1414
"998176879","1152885569","M16-Gold",11479,"",439
"213986976","1189136766","Peach?",11478,"",2131
"95070652","1430031216","Boss_JK",11469,"",1466
"33528371","1703954675","~TSPT~",11465,"",665
"964587872","1099418451","Gánh4-con-حchó",11464,"",3044
"290541717","1305303031","giaudayroi",11463,"",1580
"894088740","1333548723","Dre_Black-Min",11463,"",1125
"939936015","1700055416","၄၃VIE.MèO_Ú౨ৎ",11462,"",2316
"177424812","1693953576","Hậu'",11460,"",2268
"449916626","1216320730","Nidhogg.Ϟ",11455,"",2284
"600375692","1426567518",">SOLAR<",11455,"",219
"192177682","1567299991","BabyRage!",11455,"",999
"684402914","1843911521","Máy.Đục.thùg97",11454,"",1227
"812572213","1864649779","Mr.CUU",11453,"",328
"514181066","1873873730","CF_thỏ",11452,"",841
"210416314","1619859116","*-...Zin...-*",11452,"",2637
"787578438","1228398984","HPF丶Layla",11452,"",2411
"276520044","1654326533","Donk.-hanam",11448,"",2072
"8492490","1498142814","ChoiRChay",11444,"",2707
"59798172","1056149128","s2djes2",11444,"",886
"76956276","1867365301","NghĩaTáo",11444,"",923
"590527719","1931800485","BlackWolf-",11441,"",3055
"493847419","1794121187","Allen1993",11440,"",983
"50991085","1649203485","NDS_",11438,"",1408
"112876319","1429718951","Pichu47",11437,"",215
"974710909","1382205896","1H丶Ｈ¡ếų๖",11436,"",2367
"847807222","1696879862","BillowTino",11434,"",2381
"817446524","1679156747","Namtraans",11429,"",101
"45341799","1312854648","Coffin",11428,"",1352
"693821202","1562285701","All.OnVNo1",11426,"",2495
"475537028","1279838089","LãnhChúaNgânHà",11424,"",2084
"651390296","1650703887","Black_MaTu@94",11424,"",1349
"800660056","1690803476","½«¶hü©äøÑè»",11422,"",133
"95207902","1482014898","TràChanhcủnăng",11421,"",805
"304766182","1709730591","»ᴍɪʙ«恶魔下凡ಡ",11421,"",4414
"428926525","1071550269","AFC@vũngRô@789",11421,"",6846
"404065186","1370983076","ThanhProCF",11420,"",3212
"542782858","1243256281","ɴʜᴘᴛ〆78Win",11420,"",165
"357046783","1865924905","TikTok:ThangGM",11420,"",4556
"62321977","1961047065","Hoàiócchó",11419,"",1976
"14373823","1394202247","メηһìηɑηһηèメ",11418,"",2254
"383791784","1376097724","LuciFer*",11417,"",1792
"122350840","1530204481","AG.iKenious'神",11416,"",2285
"798525757","1392983482","SF-ShenLong",11415,"",6700
"811273066","1493446500","mt!",11411,"",94
"39496020","1158789341","「BG」Cadilak",11409,"",3487
"420387646","1654770773","TuấnPl",11408,"",573
"270924667","1591831796","Meonee",11407,"",745
"264172957","1838664526","Trung_Ketamine",11406,"",831
"647398553","1074490926","_Swaz",11406,"",618
"357195174","1024053555","Á_đù",11401,"",792
"254433095","1588136829","60ᵛᶰシKyo",11401,"",925
"986700817","1302960574","N.T.V",11395,"",602
"155235500","1352516047","Thienkim68AG",11395,"",867
"671106290","1747482105","ᴠᴛᴠ_ᴆᵘ̣",11394,"",1581
"735736001","1248483701","βᴭKenV",11393,"",2344
"721212045","1943866025","『ʜᴘ』Sơn.Mars",11391,"",1448
"995164008","1220764785","AF丶BướmXinh",11390,"",1625
"215902873","1781301074","Sarah_Bruce",11389,"",2598
"289285752","1409455192","GBVA",11387,"",826
"728944707","1577959915","GòiGòi",11387,"",695
"614726395","1471380048","ChémĐéoChạy",11386,"",1962
"818612488","1856972134","BópVúMẹVợ..",11386,"",2772
"951506267","1987792123","�ChiếnメThần�",11385,"",3107
"278469556","1996415720","CR®☆๖ۣۜtuyến",11384,"",3605
"430679183","1545894608","TanPhucSnip",11382,"",921
"170589716","1020288095","HeloGer",11382,"",1919
"685962542","1836020832","Trau102",11381,"",1559
"582100729","1811913080","ʟᴀɴcᴇʀ",11380,"",2070
"826858525","1046916505","JP~MaHoàng÷®©",11380,"",2006
"477157457","1617158446","CSCD_007",11380,"",619
"104542577","1842734617","Tập_Chơi_CFL",11378,"",2416
"120677296","1356502085","*ੈ✩‧₊˚༺☆༻*ੈ✩‧₊",11377,"",2510
"165066990","1184654760","Bé_Bơ(-,-)",11376,"",1459
"510387344","1395158554","『Gà』BossD",11375,"",924
"666783145","1584040755","anhđẹptrai01",11374,"",840
"168575253","1573496262","Chiến.Đz",11373,"",1868
"690523030","1982983691","DucManhHi",11373,"",4074
"23526420","1434212302","౮ươทɠㅤGiả",11372,"",2234
"249050423","1275810267","BW-JSul",11370,"",2905
"365762506","1669449093","『NTF』H.Huy..!",11369,"",3766
"652307224","1595386012","Đứςɧε",11369,"",667
"295943665","1285981816","62N.HùngNoBi",11367,"",5928
"408968007","1366936146","LongYeuGay",11365,"",4331
"830459895","1862556691","#RynnXx.777",11365,"",2311
"833507036","1122045245","『KTT』Soju",11364,"",3471
"645588650","1720643678","RùaTobi",11363,"",1010
"714963439","1070670659","LỖ CHÍ THÂM",11362,"",1956
"522528581","1338708734","TIC",11361,"",1500
"982379548","1867822558","KH8-ThắnG-BÁ0-",11360,"",2181
"207988988","1150861891","VệTrang",11360,"",65
"262921936","1367047948","KhánhQozCF",11359,"",617
"749520982","1878059061","3M丶TuLa",11359,"",3590
"870540349","1348849094","Frierennn",11359,"",51
"454604628","1691812716","GiếtChóHack",11359,"",2362
"57388037","1810359960","1st×KẻBíẨn",11358,"",683
"52709418","1648296322","-HR-HeHe",11357,"",3017
"78765987","1104972537","SxL`CáMậpCon><",11357,"",2392
"708185715","1427499561","BɭσσɗAռɠεɾʂ",11355,"",797
"860981997","1233120261","Aɱʈ.AK-TàoTháo",11352,"",2637
"615708642","1714539623","Vuu1",11352,"",2362
"444682569","1679318434","Ms.Tuệ_Anh^^",11352,"",2586
"820593712","1095308239","Seven_sét_",11350,"",2083
"56880533","1340645792","『AP』Tiểu౨ৎMyシ",11341,"",695
"492746549","1458700789","52hzYE",11341,"",983
"742159255","1730149202","WOW-KhoaNè",11340,"",2739
"220288546","1150755890","sinestrea",11340,"",486
"849463009","1522153402","Chegling",11339,"",944
"824261093","1524758440","15.ĸнangнι2k5",11336,"",2578
"33257591","1283425835","lâmdzz",11336,"",1311
"346845802","1165262764","JP丶Michu",11335,"",2187
"992728562","1280688310","Vinny.exe",11333,"",1888
"205774890","1404584426","ＴＲѺＮＧ＼ＸＩＢＯ",11333,"",3615
"644138102","1065289360","꧁༺hunter༻꧂",11330,"",1268
"302392766","1170200864","6G丶Saint",11329,"",1808
"73284004","1321532191","Şmīłë~",11329,"",940
"683716248","1518307232","doraenon",11324,"",2070
"202075621","1261587575","LuSiTa",11321,"",1080
"818907605","1146952955","Genius•£",11317,"",3379
"856545552","1326098883","『BH』Hợptácxã",11316,"",2447
"269895528","1163350074","303•BUIDUYKHA",11315,"",302
"577922282","1253437658","CôngChúaTiểuMy",11313,"",2386
"520154826","1428314466","thayneconhaha",11311,"",3951
"889075253","1909993308","BópZúVkBạn.",11310,"",3936
"235354963","1607219737","BặcÇựĐạiDu",11306,"",3390
"999568052","1017285630","『LXR』TaToo",11306,"",1957
"313279118","1962840279","Opal_Boyd937",11305,"",1022
"119605051","1059958099","『$』BắnNgốk",11305,"",1990
"979514211","1641981233","Killer︵ToXic",11305,"",1942
"937985314","1428305664","「zombie」",11305,"",789
"576218805","1654291664"," Dứa",11304,"",1437
"555623284","1031482037","PịaTruy666",11303,"",1820
"460642675","1812399391","XinhGáiGiốngMẹ",11301,"",1596
"719770897","1834379664","MƬƓ_౨ৎLiLith",11301,"",711
"98034179","1026903907","『ᴛɴ』Thinhgrimz",11299,"",2018
"380627626","1705689201","Kylie_Boyd827",11297,"",953
"120491961","1267902639","PhụHồ.VềHưu",11296,"",1508
"792638115","1604485470","「ᴅxʙ」ᴍạᴄᴛĩɴʜ",11296,"",3623
"345552223","1847590789","ঌARB丶Tuấnッ®",11295,"",3010
"167969530","1158672712","KoNgạiVaChạm",11295,"",1982
"839349410","1712614777","62ʟ1ɢᴀ̀ᴋᴇ̣̂ᴛᴀᴏ",11291,"",1554
"931329525","1694251354","Hubert•J",11290,"",1330
"718614593","1770461465","Alice_Chase260",11288,"",1522
"382619246","1914893595","Kuty_1994",11288,"",812
"324334969","1201678827","ThuýVyyyyy",11287,"",2138
"358511136","1654924564","ỈaBốcLấyĂn",11284,"",59
"565958652","1176822592","VYGxAKViệt",11282,"",3041
"318986646","1822708162","『NE』CuaKhSnip4",11281,"",3068
"560135337","1856448237","PhúNhịĐại",11281,"",20
"207539700","1508949253","anhlasaykeday",11276,"",1653
"3636647","1544714434","S2VôTình",11276,"",2126
"81167925","1224089503","phucxes",11273,"",1642
"147571403","1192284487","乙ʜ丶Luciferr",11270,"",1665
"835355606","1345931383","『19』丶N.Mine",11270,"",2466
"715734754","1811898676","89:Boy",11268,"",2567
"860006229","1809795717","-HR-ʟì",11267,"",3589
"345132332","1262961544","79K丶Scatter",11266,"",1859
"188745793","1304851898","TOP丶SoniC",11265,"",1804
"385156660","1891500611","USC-Quân",11265,"",1219
"126220528","1667192642","DF_LãoLục",11263,"",1210
"904024358","1519135139","LyLy",11262,"",636
"230290115","1677414398","Okᵂᴵᴺ",11261,"",1783
"962881491","1083683301","KenShiRo",11258,"",1585
"210422738","1312508246","EVA丶Tậpsnip",11258,"",3190
"158399013","1941459375","VIE_SơN",11257,"",3566
"468601629","1838885527","KR-NKTru",11256,"",1348
"763402538","1982725085","CF丶Snipking^^",11256,"",2461
"771406889","1370427512","Ttn11",11256,"",1364
"59857994","1276589870","꧁༺ζʊ£ɑζɦầղ.࿐",11255,"",997
"816492631","1349478640","Hoàn_Bò_Tuôi",11253,"",1646
"754277472","1369310241","1VIPER",11253,"",3381
"841901225","1560058379","『6789』丶Shipper",11251,"",1835
"277941592","1850398504","^SóiTrắng^",11247,"",3197
"163537214","1951184947","SNxTrâm.Snip",11247,"",2441
"362994266","1093691100","ＶＮＤ_Snack",11246,"",3534
"676162625","1256282225","NamproHp",11246,"",2612
"612625979","1765844216","KemBaby",11245,"",1307
