"id","name","pham","fam","loai","tot","M_T1_CB","M_T1_DN","M_T1_TA","M_T1_HT","M_T1_F","M_T2_CB","M_T2_DN","M_T2_TA","M_T2_HT","M_T2_F","M_T3_CB","M_T3_DN","M_T3_TA","M_T3_HT","M_T3_F","M_T4_CB","M_T4_DN","M_T4_TA","M_T4_HT","M_T4_F","M_T5_CB","M_T5_DN","M_T5_TA","M_T5_HT","M_T5_F","M_T6_CB","M_T6_DN","M_T6_TA","M_T6_HT","M_T6_F","M_T7_CB","M_T7_DN","M_T7_TA","M_T7_HT","M_T7_F"
"10101138006","AK47-Iron Beast-Legend","Limited","AK47","Rifle",6449492,0,0,0,0,0,0,0,0,0,0,2142710,58225,892,70,954449,368999,5422,69,0,410672,768768,14538,200,0,568748,237803,1897,3,0,362216,318577,3239,46,0,231949
"10101149006","AK47-Iron Beast-Diamond","Limited","AK47","Rifle",6052802,3149853,122366,2785,196,1282488,754897,15814,251,7,441916,143045,2410,0,0,136774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10102006006","M4A1-Born Beast","Gold V","M4A1","Rifle",5740168,108699,21457,510,64,10100,45075,5812,98,19,3433,50581,6313,138,24,3000,1543888,51094,827,25,1867083,614012,19173,254,2,564552,282576,9193,129,1,263466,157768,4612,35,9,106146
"10206005006","M200-Dominator","Gold VVIP","M200","Sniper",5603438,479692,68924,4285,564,35258,549286,108559,5210,961,24853,923762,226207,8862,1621,23873,730307,207210,8573,1233,12976,712228,193342,8380,953,13564,525661,150422,6349,879,14358,416888,120174,5373,666,11985
"10120008006","QBZ03-Jewelry","Gold V","Súng trường khác","Rifle",5367589,1364198,48250,1396,141,1465687,486858,16644,155,26,346787,389739,14230,235,10,224645,215957,8115,160,52,121295,214851,7955,202,27,103775,144863,5212,110,27,79860,68864,2655,44,10,34554
"10101008006","AK47-Beast-Noble Gold","Red","AK47","Rifle",5128027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192754,21746,903,100,55671,1315255,79229,2521,320,722858,654853,25093,713,211,485970,909445,26367,655,137,633226
"10101234006","AK47-Pterosaur","Gold VVIP","AK47","Rifle",5029209,163532,96673,7382,1542,63,744219,272445,10798,1264,117,863919,313327,12455,933,21,1019019,200032,7579,849,0,413213,157857,6291,658,0,420317,91555,3066,796,0,161320,54617,3017,331,2
"10101240006","AK47-Spring","Gold VVIP","AK47","Rifle",4827927,0,0,0,0,0,0,0,0,0,0,1757879,90284,2275,325,93,1423396,32747,306,12,351,810902,16686,185,0,132,450964,6099,48,0,99,232410,2548,26,0,160
"10209004006","QBU09-El Dorado","Gold V","Bắn tỉa khác","Sniper",4795202,281770,6396,150,11,503154,648196,9218,267,3,1294790,335070,8418,324,32,598800,135525,3133,147,7,259199,114132,2376,56,0,216693,91079,2865,40,1,165571,40409,1018,6,0,76346
"10141003006","SKS-Medusa","Gold V","Súng trường khác","Rifle",4533687,15,0,0,0,0,803715,30716,932,114,256405,1013334,33119,916,131,603979,415080,15372,304,157,268644,321143,13334,348,70,195708,224372,8137,196,38,134018,114722,4910,73,28,73657
"10102160006","M4A1-Azure Dragon-Beta","Silver V","M4A1","Rifle",4438752,656041,12236,288,21,2264254,193994,3122,19,1,634959,77919,1532,8,0,213883,30954,435,6,1,94353,27981,537,11,0,75546,21229,473,4,0,63393,19918,188,0,0,45446
"10206008006","M200-Bumblebee","Purple","M200","Sniper",3210600,688724,18439,632,36,479895,350191,10235,239,4,190429,404293,10613,124,23,262244,142859,3415,49,2,88026,158729,3176,43,1,102450,130671,2793,11,6,83568,44044,870,1,0,33765
"10101003006","AK47-SS","Purple","AK47","Rifle",3140951,94298,1596,12,0,967780,56728,1037,3,10,569653,50897,712,1,0,605144,31958,191,8,0,459793,8758,44,0,0,163882,4113,26,0,0,102354,635,6,0,0,21312
"10209003006","QBU09-Winner","Orange","Bắn tỉa khác","Sniper",3088731,768332,6958,110,285,1925822,38123,411,2,0,162769,17216,95,1,0,67319,8494,52,2,0,30829,5619,49,0,0,22257,5323,69,2,0,17898,2260,35,2,0,8397
"10102077006","M4A1-Blue Crystal","Purple","M4A1","Rifle",2942172,55214,1033,16,1,1055704,24759,458,28,7,593531,18478,439,23,1,613579,9428,118,1,0,416160,2261,91,25,2,78652,1315,103,4,0,51570,469,30,1,0,18671
"10405009006","Steyr TMP-Demon","Gold V","SMG","SMG",2866778,447760,7820,231,10,1212323,148302,1900,24,0,300256,104967,1101,59,0,170008,43751,440,8,0,83284,40329,501,1,0,76653,94957,2897,8,4,92825,10234,69,0,0,26056
"10101264006","AK47-Titanium Beast","Gold VVIP","AK47","Rifle",2855663,237,32,0,0,55,174954,140699,8962,925,13,523901,349251,15827,1868,12,696810,208947,7441,754,1,255798,141118,4319,580,0,135003,60308,1404,131,3,86550,38566,1002,192,0
"10104008006","SCAR-Dark Knight-Alpha","Gold V","Súng trường khác","Rifle",2828182,335077,8433,276,5,647964,38260,511,38,0,263543,185028,3433,169,4,698153,36910,685,8,0,152192,43404,1119,40,1,218743,6853,127,8,0,40082,14836,126,3,0,132151
"10305013006","Gatling Gun-Snake","Gold V","SMG","Machine Gun",2726267,0,0,0,0,0,293358,8249,232,13,330357,556884,12939,325,13,578017,175674,3577,101,3,220549,126361,2436,32,2,159082,59535,1467,3,3,79754,60721,1267,25,4,55284
"10201014006","AWM-Glory","Purple","AWM","Sniper",2713489,365848,4777,119,9,1266661,135416,2155,72,32,488395,46573,863,16,4,211036,12290,303,8,0,64091,11490,440,7,0,42514,9157,245,7,10,33027,2746,96,1,0,15081
"10101224006","AK47-Predator","Gold V","AK47","Rifle",2603747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787637,16890,269,14,432587,539413,4319,69,0,466594,188288,1666,29,0,165972
"10102096006","M4A1-Ranger-Frost","C","M4A1","Rifle",2514392,105648,113658,8826,1364,3207,139470,180967,10309,1117,68,180000,264124,16983,2317,49,99863,184827,14946,2574,0,111094,194139,12856,2898,1,136884,241672,12461,1808,0,178570,277900,11951,1826,15
"10102001006","M4A1","Whtie","M4A1","Rifle",2304085,20347,810,35,1,180235,11933,684,18,2,296849,8312,641,38,2,532868,5429,661,68,9,459532,4719,311,15,9,612112,4172,496,18,4,89464,2040,347,13,0,71891
"10101001006","AK47","Whtie","AK47","Rifle",2242531,254555,14596,671,104,375798,158231,10062,411,113,263087,105743,6322,267,33,238471,64390,4618,169,33,184581,45297,3219,98,28,190941,38357,3977,195,87,191889,18775,3955,328,100,63030
"10101223006","AK47-Predator-Alpha","Silver V","AK47","Rifle",2197861,0,0,0,0,0,0,0,0,0,0,450793,7407,189,4,680668,143854,1389,7,1,499757,58341,495,1,0,184286,27240,42,1,0,113743,6420,14,0,0,23209
"10201001006","AWM","Whtie","AWM","Sniper",2070384,84980,2413,136,10,639828,49881,2185,85,12,369056,26298,1497,67,23,248880,19967,1388,79,26,198793,12540,898,91,9,167934,10382,1105,76,5,168615,3488,717,64,12,58844
"10702001001","Cận chiến (mã 001)","","Cận chiến","Melee",2001150,6730,182,7,2,29701,4149,120,3,4,17391,675543,43376,1950,206,384743,132221,8240,354,42,142747,195337,13506,566,70,155513,61880,5140,257,28,65149,26720,2162,91,9,27011
"10102041006","M4A1-Ranger","Gold VVIP","M4A1","Rifle",1982393,102779,29867,1205,74,5905,612197,51566,1138,50,270647,72094,36133,1546,177,3931,59837,30326,1327,175,106,316382,59010,1458,36,107,218536,43402,715,61,59,40826,20102,419,132,68
"10628005006","MK23-Silencer","Purple","Súng lục","Secondary",1977779,376393,25177,491,49,0,332401,18394,216,12,0,383702,17484,96,0,8,252195,9736,112,3,9,241785,10152,90,3,3,192004,6788,147,12,0,107667,2632,18,0,0
"10201049006","AWM-Red Frame Hawk","Gold V","AWM","Sniper",1901439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463621,32905,1251,107,129085,483106,25070,417,19,226102,250176,13918,175,27,115115,105432,7516,109,19,47269
"10211015006","98K-Satellite","Gold VVIP","Bắn tỉa khác","Sniper",1885448,462134,10702,330,16,950151,5393,175,0,0,7866,93,0,0,0,48,28,1,0,0,7,327429,21463,552,54,76867,14681,602,1,0,6588,156,4,0,0,107
"10101156006","AK47-Tào Tháo","Red","AK47","Rifle",1849074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130674,351807,26650,3151,2,244717,458548,24484,3217,0,205769,374716,22280,3049,10
"10201055006","AWM-Angel","Gold V","AWM","Sniper",1835090,29,0,0,0,0,3,0,0,0,5,349536,9505,245,82,497950,162339,3001,119,29,295193,94782,1743,57,14,163355,70991,1447,102,4,112205,24625,316,29,2,47382
"10515004006","KSG-Born Beast","Gold V","Shotgun","Shotgun",1758566,238192,14410,805,137,75281,405835,17988,565,45,162853,223068,10803,288,189,78358,112552,5764,95,28,44198,122239,5659,286,24,49934,81908,2263,164,0,36344,46388,1770,48,2,20083
"10101093006","AK47-Blue Pottery-Gold","Orange","AK47","Rifle",1746868,356916,29835,1149,174,0,295669,19781,482,137,0,205920,11121,214,4,0,138853,6711,128,18,22827,219946,5432,120,13,183035,113819,2719,73,1,72518,37658,1045,4,2,20544
"10202073006","Barrett M82A1-Winter-Alpha","Gold VVIP","Barrett","Sniper",1706437,906907,30163,752,109,0,355595,10013,317,61,1,191613,5224,114,9,0,78375,1998,30,1,0,58966,1238,11,1,0,41649,792,6,0,0,22116,376,0,0,0
"10101150006","AK47-Iron Beast-Heroic Battlegear","C","AK47","Rifle",1701539,0,0,0,0,0,0,0,0,0,0,322,1345,592,182,0,102522,20707,1216,65,0,835907,38384,547,44,0,427087,14217,121,8,0,249973,8231,69,0,0
"10707012006","Shovel-Born Beast-Beta","Silver V","Cận chiến","Melee",1658898,303732,5190,47,7,548115,129191,2186,15,1,197057,50925,628,0,0,72792,44983,795,2,2,52414,73573,1146,6,1,69751,38812,382,5,0,42831,11640,68,4,0,12597
"10703005006","B.C Axe-Beast","Gold V","Cận chiến","Melee",1648985,301057,5617,103,2,545252,94659,1856,27,0,144623,55435,1252,12,0,65926,59534,1649,18,1,53644,109791,3168,29,2,71846,54363,1340,7,0,45813,16326,262,0,0,15371
"10101102006","AK47-Beast-Ragnarok","B","AK47","Rifle",1628993,569529,219372,15932,1501,245,244108,112673,7224,1118,0,132693,67548,4298,660,0,59202,33594,2222,276,0,55314,27870,1363,28,0,31133,13390,353,66,0,18453,8377,417,34,0
"10101031006","AK47-Noble Dragon","Orange","AK47","Rifle",1469443,146860,3942,82,4,255114,174153,4814,137,6,250331,88310,3096,96,13,128283,58626,1952,50,19,74121,45591,1178,50,11,86646,30069,880,48,11,80639,10417,602,22,2,23268
"10403007006","MK5-Mechanical Era","Gold V","SMG","SMG",1457313,368755,10015,285,25,605773,88639,4741,255,43,74011,32544,1001,9,2,42848,13665,334,5,0,21289,22180,608,3,2,30329,74311,2989,60,3,45979,6471,199,1,3,9936
"10202005006","Barrett M82A1-Iron Shark","Gold V","Barrett","Sniper",1427638,470615,9798,303,25,716943,10360,244,22,0,16833,787,217,89,90,135,349,173,189,50,3,359,116,158,4,5,16259,1644,196,20,4739,111848,11620,790,27,52628
"10101166006","AK47-Legendary Red","Gold V","AK47","Rifle",1368610,239966,7802,252,6,284939,6984,187,0,0,9093,420418,38901,1246,280,23340,129782,8219,209,2,9279,82467,4467,73,0,5583,46994,1852,11,4,3249,36496,1538,14,0,4957
"10305004006","Gatling Gun-Blue Pottery","Purple","SMG","Machine Gun",1292622,234273,5286,143,15,447568,99897,1616,23,11,200323,21159,252,4,0,89456,11254,104,1,0,65341,7155,80,1,0,51295,4317,38,2,2,34324,1806,13,0,0,16863
"10706047006","Dynasty Sword-Glory","Gold V","Cận chiến","Melee",1292034,0,0,0,0,0,166293,4675,111,4,187701,122951,3318,41,2,135715,93466,3030,43,0,72642,190525,5932,47,1,104735,93402,2053,18,0,56874,29286,589,4,0,18576
"10110016006","M14EBR-El Dorado","Gold V","Súng trường khác","Rifle",1287936,1017,111,2,0,163,7277,726,9,5,2895,207840,8477,172,67,341264,136131,5969,230,10,206314,94995,4584,179,16,103364,59225,3587,81,2,61255,20484,1431,25,3,20026
"10101060006","AK47-Emrald Rebirth","Gold V","AK47","Rifle",1265622,0,0,0,0,0,0,0,0,0,0,301280,5875,93,14,377852,111980,1375,8,0,194473,56306,788,5,0,90570,33441,406,3,0,53182,14417,135,0,0,23419
"10103006006","QBZ95-Angel","Gold V","Súng trường khác","Rifle",1208620,218818,5043,105,8,485603,58570,1152,15,0,172594,32091,782,5,0,79875,12864,394,5,5,34667,17764,585,8,1,39821,7321,158,0,0,28475,2261,19,0,0,9611
"10302008006","RPK-Medusa","Gold V","SMG","Machine Gun",1202475,0,0,0,0,0,0,0,0,0,0,174499,7645,201,14,87036,280276,7348,200,7,192755,143472,3773,68,6,85105,75665,2272,31,1,42628,60134,1401,51,9,37878
"10101035006","AK47-Anubis","Gold VVIP","AK47","Rifle",1150385,414209,21304,803,50,605419,17239,2943,148,2,18310,3415,2775,63,4,2,18700,10957,162,63,0,10917,7073,73,69,0,4983,2640,24,0,0,6560,1462,16,0,0
"10209009006","QBU09-Volcano","Purple","Bắn tỉa khác","Sniper",1118967,56292,646,13,0,230266,49950,393,6,6,383515,13448,109,6,0,119864,5847,209,8,0,47403,15345,202,5,4,75791,18235,164,31,3,71258,5745,35,3,0,24165
"10614011006","COP 357-Titanium Beast","Gold VVIP","Súng lục","Secondary",1084553,0,0,0,0,0,29711,38878,2956,417,9,104332,107743,5805,704,14,367399,98673,3369,364,0,93299,77274,3309,507,0,40988,43523,2349,169,0,27740,33084,1792,145,0
"10503004006","Armsel Striker-El Dorado","Gold V","Shotgun","Shotgun",1025038,0,0,0,0,0,138295,3979,89,33,163189,181447,6388,276,188,96884,90035,3270,109,38,45778,88959,4419,38,26,52589,60597,2837,20,11,39213,27641,1669,1,0,17020
"10102024006","M4A1-Ice-Alpha","Purple","M4A1","Rifle",976310,130793,3209,80,9,291934,116212,3063,39,3,223039,52680,1211,29,0,53351,21257,671,14,5,12291,20777,515,3,1,16652,10978,457,18,0,8608,4468,145,2,0,3796
"10101239006","AK47-Spring-Alpha","Gold VVIP","AK47","Rifle",975220,0,0,0,0,0,0,0,0,0,0,744859,23451,291,99,12,106515,2318,36,1,0,55810,953,11,0,2,26073,243,0,0,0,14398,148,0,0,0
"10102008006","M4A1-Ultimate Gold","Orange","M4A1","Rifle",944158,29132,562,11,2,193073,30483,700,22,3,157884,23563,509,18,0,161172,9294,173,50,0,106349,8300,140,6,0,90099,6258,156,1,0,92352,1535,21,0,0,32290
"10102032006","M4A1-Jewelry","Gold V","M4A1","Rifle",900712,153546,4157,74,0,442343,913,25,0,0,2227,6,0,0,0,11,1,0,0,0,1,28,0,0,0,12,85165,2559,53,0,179836,13405,412,7,0,15931
"10704004006","Kukri-Dragon","Gold V","Cận chiến","Melee",893739,263200,7273,160,43,175722,149641,4079,38,2,103028,36027,1182,41,0,25775,16223,1133,33,0,8359,40449,6800,212,5,4618,29495,5270,161,14,5232,7354,1143,34,2,991
"10101196006","AK47-Fury Beast","Gold VVIP","AK47","Rifle",889624,146719,131530,11881,1954,366,116186,82582,3251,336,36,80818,48301,1525,131,9,35077,23177,669,76,0,26265,18281,307,51,0,67099,27298,731,55,1,48742,15723,434,12,1
"10101258006","AK47-S-Rifle Knife","Gold V","AK47","Rifle",878657,355140,8918,208,6,493918,8367,213,1,0,11640,109,0,0,0,1,9,0,0,0,0,64,0,0,0,0,52,2,0,0,0,9,0,0,0,0
"10304006006","M249-Born Beast","Orange","SMG","Machine Gun",873472,285196,8518,310,21,364335,66327,1466,52,6,51272,20428,493,13,5,18148,7866,233,9,2,8257,7164,128,2,2,7397,4825,126,0,0,5304,8388,200,5,0,6974
"10515014006","KSG-Iron Shark","Gold V","Shotgun","Shotgun",857539,104856,2951,67,2,112776,3132,76,0,0,3234,5,0,0,0,0,18957,852,15,0,6308,264835,10920,142,4,90169,114451,3529,36,11,39295,58985,2217,52,0,19662
"10101029006","AK47-Earl","Orange","AK47","Rifle",838146,60858,1424,72,1,102935,66107,1588,27,4,105190,72799,2755,57,0,85679,55391,817,63,0,70967,34135,528,14,0,64378,25601,210,3,0,59837,8675,58,0,0,17973
"10101147006","AK47-Angel","Gold V","AK47","Rifle",834460,15,0,0,0,0,9,0,0,0,53,169,73,0,16,1,23,1,0,7,0,33,8,0,2,0,34301,810,3,5,38756,186725,2089,34,4,571323
"10107007006","AUG-Mechanical Era","Gold VVIP","Súng trường khác","Rifle",828228,19335,304,6,0,185836,129322,3900,132,9,259786,41471,781,11,0,59025,14194,424,5,1,22162,19923,392,4,0,27281,11486,299,5,0,15265,6909,102,1,0,9857
"10704033006","Kukri-Dragon-Beta","Silver V","Cận chiến","Melee",825305,112729,1583,31,6,296853,38762,509,5,1,89739,22632,321,2,0,34626,26064,385,1,0,27959,58623,808,2,0,46394,25064,212,0,0,25366,7991,49,0,0,8588
"10109017006","9A91-El Dorado","Gold V","Súng trường khác","Rifle",823343,0,0,0,0,0,3,0,0,0,0,224709,6425,174,5,401112,32057,1102,26,0,45421,26087,738,21,0,34340,16190,1149,27,0,19044,7042,435,2,0,7234
"10202064006","Barrett M82A1-Titanium Beast","Gold VVIP","Barrett","Sniper",795253,36,4,0,0,6,38275,49641,3588,612,21,98763,92053,3500,329,10,241177,66591,2233,98,1,55012,43162,1213,81,2,30659,30234,806,30,8,18439,18382,284,2,1
"10105004006","AN94-SS","Purple","Súng trường khác","Rifle",793484,45709,1060,18,1,225270,20810,472,9,3,121014,15601,529,5,0,105859,9747,254,1,1,76460,6942,85,0,0,64610,5704,46,0,0,71700,1218,13,0,0,20343
"10102015006","M4A1-A","Blue","M4A1","Rifle",792259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,25,0,0,23628,5919,103,1,0,363542,3852,75,0,0,299119,932,12,0,0,94493
"10101006001","AK47-Beast","Gold V","AK47","Rifle",765398,233312,10483,622,137,137026,95610,6379,418,101,41715,59574,5111,393,49,22731,32235,2221,149,7,12605,32825,2851,96,19,13300,25910,2774,47,13,10958,10048,917,27,4,4731
"10101059006","AK47-Blue Crystal","Purple","AK47","Rifle",710273,97022,3053,64,18,252646,57015,1741,46,0,101790,32572,1078,67,0,49310,14647,558,0,0,28008,6517,248,9,6,25213,5725,347,10,4,25525,1573,117,1,1,5342
"10120005006","QBZ03-Born Beast","Gold V","Súng trường khác","Rifle",702663,247461,6138,148,7,354515,6087,131,0,0,9017,7,0,0,0,2,5,0,0,0,4,6540,3059,220,23,170,4754,1770,98,3,90,46415,2830,70,0,13099
"10206001006","M200","Blue","M200","Sniper",697386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6299,120,5,0,9739,74237,1573,45,0,187342,62113,1244,128,1,232285,20647,353,7,20,101228
"10206004006","M200-Blue Pottery","Purple","M200","Sniper",694537,138,2,0,0,44,0,0,0,0,0,0,0,0,0,0,196406,6104,132,13,196184,77738,1556,16,5,105246,39809,971,104,1,45615,10378,193,9,0,13873
"10105003006","AN94-Smilodon","Gold V","Súng trường khác","Rifle",671410,228330,5720,141,2,388360,5328,104,5,0,9641,0,0,0,0,0,13358,9823,566,35,0,4066,2760,134,2,0,1633,680,19,0,0,462,218,15,8,0
"10120017006","QBZ03-Knife-Jade Flower","Gold V","Súng trường khác","Rifle",670813,278095,7860,193,9,368220,6660,149,0,0,9560,15,0,0,0,30,9,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10602010006","Desert Eagle-Thunder","Gold V","Súng lục","Secondary",664142,126377,3278,98,2,216474,49953,1176,14,0,66639,28664,553,9,1,36938,16286,304,3,0,22382,14499,258,0,0,18813,9126,85,3,0,14100,9590,73,1,0,28443
"10209001006","QBU09","Blue","Bắn tỉa khác","Sniper",661663,33918,316,22,4,195359,12044,295,5,3,91138,13943,129,5,0,88314,13133,183,84,0,71150,8118,144,102,0,49989,8153,102,18,0,49066,2789,36,0,0,23101
"10201050006","AWM-Infernal Dragon-Heroic Battlegear","C","AWM","Sniper",660701,153,615,111,36,0,3200,4195,291,39,0,19631,11973,1106,201,0,93253,23039,1054,121,0,229041,26838,451,35,0,127978,19580,360,10,4,79670,17299,407,9,1
"10102244006","M4A1-Iron Wolf","Gold V","M4A1","Rifle",643457,251695,7000,189,5,366188,7410,606,42,6,10131,139,5,0,0,3,12,0,0,0,3,10,0,0,0,0,3,0,0,0,0,10,0,0,0,0
"10102193006","M4A1-S-Born Beast Ice Soul","Gold V","M4A1","Rifle",636690,1,0,0,0,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,80196,6028,76,4,19255,260108,8679,146,8,134986,77225,1452,6,0,48512
"10102256006","M4A1-Summer","Gold V","M4A1","Rifle",634426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1527,986,56,3,0,307030,26333,572,39,0,196913,9359,145,5,0,87573,3819,66,0,0
"10320007006","MG36-Dark Knight-Alpha","Gold V","SMG","Machine Gun",613744,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,123130,4026,130,6,164316,91425,2311,69,9,107696,37718,1149,24,1,38503,23072,513,11,0,19632
"10101082006","AK47-Invincible Dragon","Orange","AK47","Rifle",597588,144250,3011,93,12,389087,118,0,0,0,330,0,0,0,0,0,453,61,4,0,0,9378,497,30,0,3442,13659,200,26,1,20950,3924,24,1,0,8037
"10307005006","KAC-Camo Skull","Purple","SMG","Machine Gun",577946,41498,1062,14,12,45276,130462,2489,50,14,227247,19071,343,24,3,40595,8313,303,10,1,19361,6340,158,5,1,13726,4464,139,0,0,9872,2219,40,2,0,4832
"10104011006","SCAR-Dark Knight","Gold V","Súng trường khác","Rifle",574431,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31565,1806,38,4,29454,153701,6759,262,17,350821
"10110009006","M14EBR-Born Beast","Gold V","Súng trường khác","Rifle",573627,209662,5231,88,19,339986,5350,85,0,0,9295,0,0,0,0,0,0,0,0,0,0,204,346,87,9,0,445,1706,213,9,0,289,548,50,5,0
"10201047006","AWM-Gaming Glory","Gold VVIP","AWM","Sniper",560424,84546,1532,33,24,474283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1
"10101110006","AK47-Shade Turbo","Gold VVIP","AK47","Rifle",559686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244435,16834,502,54,104464,112767,8926,150,18,41981,26963,2290,52,37,213
"10303005006","MG3-Legend Dragon","Purple","SMG","Machine Gun",540171,144797,3258,80,9,216253,41821,754,53,0,58770,9744,276,5,0,19890,4964,120,2,3,11583,4056,79,1,0,9142,2301,51,1,0,6361,1629,11,0,0,4157
"10211006006","Kar 98K-Invincible Dragon","Orange","Bắn tỉa khác","Sniper",531257,151121,3423,89,4,335929,19,0,0,0,96,0,0,0,0,0,882,164,7,0,0,9603,1114,55,7,1331,13914,876,34,0,6244,4039,207,14,7,2078
"10202003006","Barrett M82A1-Born Beast","Gold V","Barrett","Sniper",530310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90571,9828,263,12,23433,198835,41843,981,13,53809,49718,20457,402,25,0,26894,12856,353,17,0
"10101186006","AK47-Beast-Frost","C","AK47","Rifle",510794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,989,1160,119,9,0,211587,117692,5312,646,1,76240,34345,1425,197,10,42596,17732,650,81,3
"10123010006","HK416-Iron Shark","Gold V","Súng trường khác","Rifle",505495,179004,4940,123,13,261623,11352,548,17,0,8788,9457,555,6,0,2395,6125,364,8,0,1378,6040,435,7,0,1455,5184,233,8,0,1610,3028,159,2,0,638
"10318003006","Lewis Gun-Angel","Gold V","SMG","Machine Gun",502782,395,35,1,0,109,4244,217,6,0,1709,75868,2538,127,0,114492,75119,2469,83,7,119736,33620,1051,25,5,27039,14668,568,13,2,10542,10573,260,6,0,7255
"10201017006","AWM-Gilt","Orange","AWM","Sniper",493656,92913,1341,37,0,223775,17578,353,2,2,34994,8750,189,3,0,25049,4813,72,0,0,10940,9540,393,44,2,20819,10860,308,3,0,23610,1587,24,0,0,5655
"10101059001","AK47-Blue Crystal","Purple","AK47","Rifle",490071,2204,82,2,1,3778,1112,63,7,2,1242,628,41,2,0,551,2373,51,2,0,13337,17770,403,11,1,185717,13135,308,14,21,222360,1604,58,0,0,23191
